City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Sao Filipe,CV,73.04,broken clouds,14.8961,-24.4956,Hotel Xaguate
2,Santa Fe,AR,82.02,light rain,-31.6333,-60.7,Conquistador Hotel
4,Rikitea,PF,78.08,overcast clouds,-23.1203,-134.9692,People ThankYou
5,Puerto Ayora,EC,71.24,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
12,Nha Trang,VN,80.6,overcast clouds,12.25,109.1833,Sheraton Nha Trang Hotel & Spa
14,Mayumba,GA,75.4,light rain,-3.432,10.6554,LIKWALE LODGE
15,El Vigia,VE,74.53,overcast clouds,8.6219,-71.6506,Liceo Bolivariano 19 De Abril
16,Busselton,AU,81.21,clear sky,-33.65,115.3333,Observatory Guest House
18,New Norfolk,AU,70.66,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
19,Hilo,US,73.8,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
20,Hithadhoo,MV,82.51,overcast clouds,-0.6,73.0833,Scoop Guest House
22,Mar Del Plata,AR,72.88,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
25,Saint-Philippe,RE,78.39,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
27,Victoria,HK,71.65,scattered clouds,22.2855,114.1577,Mini Hotel Central
30,Faanui,PF,79.54,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
33,Kapaa,US,76.98,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
35,Sisophon,KH,81.32,overcast clouds,13.5859,102.9737,Pyramid Hotel
36,Carnarvon,AU,82.47,clear sky,-24.8667,113.6333,Hospitality Carnarvon
39,Ixtapa,MX,76.23,broken clouds,20.7,-105.2,Hotel Plaza Providencia
42,Suba,PH,79.14,broken clouds,10.8438,121.0102,Jarnchi Pension House
44,Aquiraz,BR,78.89,overcast clouds,-3.9014,-38.3911,Pousada Rua Camurupim
47,Santo Angelo,BR,73.72,light rain,-28.2992,-54.2631,Hotel Nova Esperança Aberto 24h
49,Vaini,TO,80.76,light rain,-21.2,-175.2,Keleti Beach Resort
51,Isangel,VU,78.91,moderate rain,-19.55,169.2667,Tanna Lodge
52,Oranjestad,AW,78.91,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
53,Mataura,NZ,70.47,light rain,-46.1927,168.8643,Ellie's Villa
66,Cayenne,GF,79.09,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
69,Arraial Do Cabo,BR,75.24,heavy intensity rain,-22.9661,-42.0278,Pousada Porto Praia
71,Atuona,PF,78.98,scattered clouds,-9.8,-139.0333,Villa Enata
76,Linhares,BR,71.29,overcast clouds,-19.3911,-40.0722,Hotel Conceição
78,Quatre Cocos,MU,81.09,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
84,Hobart,AU,71.02,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
86,Bathsheba,BB,77.61,few clouds,13.2167,-59.5167,Atlantis Hotel
87,Clarence Town,AU,83.14,broken clouds,-32.5833,151.7833,River Downs Cottage
