City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Cape Town,ZA,2022-01-04 03:22:34,-33.9258,18.4232,62.28,82,0,3.0,clear sky
1,Sao Filipe,CV,2022-01-04 03:23:39,14.8961,-24.4956,73.04,63,51,7.14,broken clouds
2,Santa Fe,AR,2022-01-04 03:23:39,-31.6333,-60.7,82.02,64,7,1.99,light rain
3,Port Elizabeth,ZA,2022-01-04 03:23:39,-33.918,25.5701,69.1,94,40,10.36,mist
4,Rikitea,PF,2022-01-04 03:23:40,-23.1203,-134.9692,78.08,67,100,4.38,overcast clouds
5,Puerto Ayora,EC,2022-01-04 03:23:40,-0.7393,-90.3518,71.24,88,93,5.75,overcast clouds
6,Laguna,US,2022-01-04 03:23:40,38.421,-121.4238,55.6,74,90,3.0,overcast clouds
7,Ilulissat,GL,2022-01-04 03:23:40,69.2167,-51.1,30.22,47,100,13.8,overcast clouds
8,Amberley,US,2022-01-04 03:23:41,39.2048,-84.428,26.4,82,1,1.01,clear sky
9,Koulikoro,ML,2022-01-04 03:23:41,14.0,-7.75,62.65,26,14,8.61,few clouds
10,Ushuaia,AR,2022-01-04 03:23:41,-54.8,-68.3,40.66,70,75,26.46,broken clouds
11,Tasiilaq,GL,2022-01-04 03:23:42,65.6145,-37.6368,23.16,81,100,13.18,overcast clouds
12,Nha Trang,VN,2022-01-04 03:21:03,12.25,109.1833,80.6,73,100,6.53,overcast clouds
13,Ancud,CL,2022-01-04 03:23:42,-41.8697,-73.8203,54.43,82,100,9.04,light rain
14,Mayumba,GA,2022-01-04 03:23:42,-3.432,10.6554,75.4,92,100,2.57,light rain
15,El Vigia,VE,2022-01-04 03:23:43,8.6219,-71.6506,74.53,84,99,3.33,overcast clouds
16,Busselton,AU,2022-01-04 03:23:43,-33.65,115.3333,81.21,36,7,7.18,clear sky
17,Gioia Tauro,IT,2022-01-04 03:23:43,38.424,15.899,56.82,84,27,1.19,scattered clouds
18,New Norfolk,AU,2022-01-04 03:23:43,-42.7826,147.0587,70.66,51,100,1.99,overcast clouds
19,Hilo,US,2022-01-04 03:23:44,19.7297,-155.09,73.8,87,90,9.22,moderate rain
20,Hithadhoo,MV,2022-01-04 03:23:44,-0.6,73.0833,82.51,69,100,5.28,overcast clouds
21,Bredasdorp,ZA,2022-01-04 03:23:44,-34.5322,20.0403,54.28,87,1,0.0,clear sky
22,Mar Del Plata,AR,2022-01-04 03:19:11,-38.0023,-57.5575,72.88,85,0,11.99,clear sky
23,Jamestown,US,2022-01-04 03:23:45,42.097,-79.2353,19.71,83,90,4.0,light snow
24,Hermanus,ZA,2022-01-04 03:23:45,-34.4187,19.2345,54.81,86,6,7.16,clear sky
25,Saint-Philippe,RE,2022-01-04 03:23:45,-21.3585,55.7679,78.39,77,12,8.57,few clouds
26,Luderitz,NA,2022-01-04 03:23:46,-26.6481,15.1594,59.13,79,0,14.16,clear sky
